model,clean_precision,clean_recall,clean_F1,clean_mAP50,clean_mAP50_95,mean_corrupted_mAP50,mean_corrupted_mAP50_95,worst_corrupted_mAP50_95,mean_mAP50_95_drop,mean_mAP50_95_drop_pct,mean_corrupted_mAP50_95_gain_vs_baseline
YOLO11n_baseline,0.9865933381303836,0.9780569453011908,0.9823065964298529,0.9895063953099668,0.9696893743711708,0.958855306271595,0.9313403384589806,0.4323507597459519,0.03834903591219018,3.9547753049329804,0.0
YOLO11n_robust_builtin_aug,0.9876162911952208,0.9803735235478281,0.9839815796391345,0.9914499970749971,0.9138930857074855,0.9703213425893266,0.8699454387047351,0.4842814435913488,0.04394764700275045,4.808838986753972,-0.0613948997542455
YOLO11n_robust_explicit_corruptions,0.9859487384766288,0.9838484583580535,0.9848974787141089,0.989895284895285,0.9668276394711898,0.9898225476676386,0.9645830915919674,0.9481199862993228,0.0022445478792223333,0.2321559487531819,0.03324275313298686
