model,corruption,severity,precision,recall,mAP50,mAP50_95,evaluation_time_sec,error,F1,mAP50_95_drop,mAP50_95_drop_pct,mAP50_drop,mAP50_drop_pct
YOLO11n_baseline,clean,clean,0.9865933381303836,0.9780569453011908,0.9895063953099668,0.9696893743711708,18.40774893760681,,0.9823065964298529,0.0,0.0,0.0,0.0
YOLO11n_baseline,gaussian_noise,mild,0.980197519960171,0.9830003784921818,0.989631595881596,0.9685070442042352,7.827520370483398,,0.9815969484049762,0.0011823301669355857,0.12192875349410828,-0.00012520057162923592,-0.012652830969325506
YOLO11n_baseline,gaussian_noise,moderate,0.94179906545451,0.8404683860250005,0.9041671311010212,0.8610336865084885,7.911293029785156,,0.8882531517313139,0.1086556878626822,11.205205577625703,0.08533926420894555,8.624427756448476
YOLO11n_baseline,gaussian_noise,severe,0.832528537941163,0.4077232765786521,0.4767776075263766,0.4323507597459519,8.347721099853516,,0.547374749805992,0.5373386146252188,55.41347866925685,0.5127287877835902,51.81662192521513
YOLO11n_baseline,gaussian_blur,mild,0.9856738714434352,0.9781515517177172,0.9893326167076169,0.9714495236119548,7.984077930450439,,0.9818983046752097,-0.001760149240784048,-0.1815168122189107,0.0001737786023499055,0.01756215049984277
YOLO11n_baseline,gaussian_blur,moderate,0.9856472243386352,0.9778743695041704,0.9899562712062712,0.971619830991296,7.947291135787964,,0.9817454119945277,-0.0019304566201252538,-0.19907989827950076,-0.00044987589630440805,-0.045464677988612964
YOLO11n_baseline,gaussian_blur,severe,0.9844452972687808,0.9776318671002596,0.989604090407662,0.9615965337737632,7.845508575439453,,0.9810267521628716,0.008092840597407558,0.8345807236111714,-9.769509769519402e-05,-0.00987311432834051
YOLO11n_baseline,motion_blur,mild,0.9858383245533554,0.977156515816988,0.9898411723411724,0.96973385612824,7.871901750564575,,0.9814782215094073,-4.448175706928126e-05,-0.004587217127972246,-0.0003347770312056575,-0.03383273041916897
YOLO11n_baseline,motion_blur,moderate,0.9663473495618788,0.958524523742109,0.9838316796302818,0.94384904906227,7.741416692733765,,0.9624200403721804,0.02584032530890079,2.66480442003996,0.005674715679684916,0.5734895405003713
YOLO11n_baseline,motion_blur,severe,0.8599304787992974,0.8411394520652486,0.8856775126789519,0.7950564044978856,7.809987783432007,,0.8504311770226042,0.17463296987328514,18.009166078212626,0.10382888263101486,10.492997632267961
YOLO11n_baseline,jpeg_compression,mild,0.984903984577216,0.9805312629815014,0.9897006653256656,0.9720645174351916,7.945188522338867,,0.9827127595402092,-0.002375143064020868,-0.24493854700234427,-0.00019427001569882751,-0.019633022749486292
YOLO11n_baseline,jpeg_compression,moderate,0.9854892328147912,0.979339294134694,0.9897743753993756,0.9693118146169594,7.925122022628784,,0.9824046387809716,0.0003775597542113873,0.03893615462747844,-0.0002679800894088702,-0.027082198829541104
