split,objects,mean_box_width,median_box_width,mean_box_height,median_box_height,mean_area_ratio,median_area_ratio,mean_aspect_ratio,median_aspect_ratio
test,1025,223.02731707317074,172.0,141.92829268292684,111.5,0.10909360113376525,0.045845947265625,1.5902640257112837,1.6265060240963856
train,7207,221.03912862494798,175.5,139.04405439156375,113.0,0.10422797327847493,0.0485369873046875,1.5967251350306382,1.6395939086294415
valid,2064,214.0358527131783,172.5,134.39583333333334,110.5,0.09770216919655024,0.0458587646484375,1.6012762818799047,1.640054945054945
