model,clean_precision,clean_recall,clean_F1,clean_mAP50,clean_mAP50_95,mean_corrupted_mAP50,mean_corrupted_mAP50_95,worst_corrupted_mAP50_95,mean_robustness_drop_mAP50_95,mean_robustness_drop_pct
BD-TrafficGuard,0.9892987297318409,0.9918403069332055,0.990567888054549,0.99413177830941,0.9447799529139644,0.9893119254986876,0.9278314157340701,0.8582985995632136,0.01694853717989432,1.7939137179636708
YOLO11s,0.9841060712095534,0.9866514707861374,0.9853771271987308,0.989951227935099,0.9639390036459766,0.9074873639664472,0.8651743156369875,0.20758646654047663,0.09876468800898916,10.245947890418822
