model,condition,severity,precision,recall,F1,mAP50,mAP50_95,mAP50_drop,mAP50_95_drop,mAP50_drop_pct,mAP50_95_drop_pct
YOLO11s,clean,clean,0.9841060712095534,0.9866514707861374,0.9853771271987308,0.989951227935099,0.9639390036459766,0.0,0.0,0.0,0.0
YOLO11s,blur,mild,0.9831180746273771,0.9920694053440144,0.9875734567664036,0.9900091429930141,0.9645224049565164,-5.7915057915081114e-05,-0.0005834013105397995,-0.005850294063060449,-0.06052263767034618
YOLO11s,blur,moderate,0.9842344874249241,0.9929854078651589,0.9885905824219994,0.9940022815022816,0.9695693142360263,-0.004051053567182605,-0.005630310590049703,-0.4092174900002439,-0.5840940732508768
YOLO11s,blur,severe,0.9832500927364564,0.9888498867228778,0.9860420393993042,0.9939918567051318,0.9621519902806556,-0.00404062877003275,0.0017870133653210551,-0.4081644283083462,0.18538656061865996
YOLO11s,rain,mild,0.984488883073528,0.9853780003359669,0.984933241049182,0.9899224260917812,0.9648238262316434,2.8801843317882714e-05,-0.0008848225856668002,0.0029094204345762936,-0.09179238336866455
YOLO11s,rain,moderate,0.9745103764701228,0.9928770094298167,0.9836079616881213,0.9899127966660467,0.9632792033709783,3.84312690523414e-05,0.0006598002749983456,0.0038821376213153146,0.06844834294522112
YOLO11s,rain,severe,0.9789115677729676,0.9767586041487463,0.9778339008805624,0.9854235704925828,0.9547107741925785,0.004527657442516264,0.009228229453398074,0.45736166739853734,0.9573457883220277
YOLO11s,fog,mild,0.9854680159749399,0.9851565269141498,0.9853122468266046,0.9931094998433709,0.9672071975082531,-0.0031582719082718924,-0.0032681938622765028,-0.31903308154479587,-0.33904571242733983
YOLO11s,fog,moderate,0.9849232025713882,0.9850120100458428,0.9849676043068322,0.9937743860324506,0.966135977400377,-0.0038231580973515644,-0.002196973754400422,-0.38619661145591405,-0.22791626296795214
YOLO11s,fog,severe,0.9814655770764957,0.9779125454035338,0.979685839801048,0.9904377445458182,0.9636248232553387,-0.00048651661071918983,0.00031418039063790815,-0.0491455131313889,0.03259338915113517
YOLO11s,glare,mild,0.9735282811741071,0.9685678622121763,0.9710417368480925,0.9928652478499861,0.9506395123167971,-0.002914019914887045,0.013299491329179514,-0.29435994750623085,1.3797025827231681
YOLO11s,glare,moderate,0.8160834178999572,0.7083343982339928,0.7584009457366673,0.7576282074847764,0.6568897410435304,0.2323230204503226,0.30704926260244625,23.46812791322217,31.853598769327878
YOLO11s,glare,severe,0.6066985856079687,0.23072589291531972,0.33431330582001206,0.2741732192145767,0.20758646654047663,0.7157780087205223,0.7563525371055,72.30437101568488,78.46477155138373
YOLO11s,low_light,mild,0.9827977786189566,0.9923317764600513,0.987541767121124,0.9900381005219716,0.9630990283058147,-8.687258687256616e-05,0.0008399753401618915,-0.008775441094585066,0.08713988509488584
YOLO11s,low_light,moderate,0.9850750139962255,0.9927955907534642,0.9889202338194699,0.9896123891615696,0.9591389625805362,0.00033883877352947067,0.004800041065440408,0.03422782496429055,0.49796107920572397
YOLO11s,low_light,severe,0.9746637598805126,0.9192790689938483,0.9461616054139497,0.9509047809471033,0.897573660836425,0.03904644698799575,0.06636534280955164,3.9442798681548408,6.8848072915955445
YOLO11s,occlusion,mild,0.8569776752025021,0.9103146959045137,0.8828413278446545,0.9341591628490746,0.8782057548976007,0.05579206508602441,0.08573324874837596,5.635839777925113,8.894053298403826
YOLO11s,occlusion,moderate,0.7903951089924884,0.7813538527702882,0.7858484766287804,0.8242832816441995,0.7547659962603497,0.16566794629089954,0.20917300738562694,16.734960431986117,21.69981778872487
YOLO11s,occlusion,severe,0.6595847782255918,0.6594661753115806,0.6595254714364756,0.7005244568503148,0.6292130472518764,0.2894267710847842,0.3347259563941002,29.23646770846361,34.72480676972732
BD-TrafficGuard,clean,clean,0.9892987297318409,0.9918403069332055,0.990567888054549,0.99413177830941,0.9447799529139644,0.0,0.0,0.0,0.0
BD-TrafficGuard,blur,mild,0.9904985285816156,0.9936653898332555,0.9920794319439131,0.9943497718497719,0.9389508264298093,-0.00021799354036189378,0.005829126484155123,-0.021928032592681716,0.6169824482596686
BD-TrafficGuard,blur,moderate,0.9911569858744909,0.9933598317255353,0.9922571862027038,0.9943227155727156,0.9252225321774851,-0.00019093726330554617,0.01955742073647937,-0.01920643394281674,2.070050351529882
BD-TrafficGuard,blur,severe,0.9907402676720377,0.9931622167959634,0.9919497638756627,0.9935560966810968,0.9184628919800413,0.0005756816283132293,0.026317060933923164,0.05790797969382046,2.7855227931915807
BD-TrafficGuard,rain,mild,0.99012329275534,0.9916051771262312,0.9908636808837283,0.9942318865345181,0.9439124595485441,-0.00010010822510808648,0.0008674933654203576,-0.010069915004460219,0.09181962029833153
BD-TrafficGuard,rain,moderate,0.9905526194314633,0.9920415064674585,0.9912965038878313,0.9941020164046481,0.9426517119770239,2.9761904761893554e-05,0.0021282409369405286,0.0029937585148425427,0.2252631345930278
BD-TrafficGuard,rain,severe,0.9912773853215534,0.9918089948221095,0.9915431188170782,0.9941426008202325,0.9408212506695381,-1.082251082251684e-05,0.003958702244426293,-0.0010886394599437582,0.41900785809611574
BD-TrafficGuard,fog,mild,0.9902691654856141,0.9913408400188132,0.9908047129660544,0.9942435942435944,0.9447219642515715,-0.0001118159341844116,5.7988662392927104e-05,-0.011247596810008663,0.006137795601406859
BD-TrafficGuard,fog,moderate,0.9896721349985518,0.9930500091545438,0.9913581947107385,0.9942435942435944,0.9448879261346859,-0.0001118159341844116,-0.00010797322072142457,-0.011247596810008663,-0.011428398791528661
BD-TrafficGuard,fog,severe,0.9871217508544203,0.993190531175747,0.9901468419527785,0.9942435942435944,0.9448684252120692,-0.0001118159341844116,-8.847229810471369e-05,-0.011247596810008663,-0.009364328469485459
BD-TrafficGuard,glare,mild,0.9906565920775731,0.9939109689168684,0.9922811121656355,0.9934063852813855,0.9169141992783447,0.0007253930280245457,0.027865753635619717,0.07296749222302569,2.9494437884370823
BD-TrafficGuard,glare,moderate,0.9721217383866264,0.9916456419060111,0.9817866361845157,0.993560606060606,0.9087970470921738,0.0005711722488039861,0.035982905821790645,0.057454379918857844,3.808601750154557
BD-TrafficGuard,glare,severe,0.9437847977793288,0.9486483210488419,0.9462103098250357,0.9748855274702518,0.8582985995632136,0.019246250839158208,0.0864813533507508,1.9359858782391797,9.153597415357748
BD-TrafficGuard,low_light,mild,0.9896048687912978,0.9928726856978611,0.9912360839915562,0.9941910904410906,0.9414494869576138,-5.93121316805334e-05,0.00333046595635067,-0.005966224294871429,0.35251234386150826
BD-TrafficGuard,low_light,moderate,0.9868444188307215,0.9929244232596108,0.9898750849921206,0.9942372977899294,0.9435225965000943,-0.00010551948051940041,0.0012573564138701476,-0.010614234734437681,0.13308457805355736
BD-TrafficGuard,low_light,severe,0.9887810065730342,0.9912022189768442,0.9899901323913105,0.9936919191919192,0.932979044321522,0.00043985911749078177,0.011800908592442427,0.04424555447154025,1.2490642457055887
BD-TrafficGuard,occlusion,mild,0.9852839816390746,0.970525575757217,0.9778490957347022,0.9818943400301775,0.9295850402630921,0.012237438279232515,0.015194912650872361,1.2309674176237608,1.6083017642369548
BD-TrafficGuard,occlusion,moderate,0.9348596339364219,0.9687274152732613,0.9514922442895662,0.9730755614415172,0.9173007160485649,0.02105621686789283,0.027479236865399548,2.1180508788986088,2.908533016671864
BD-TrafficGuard,occlusion,severe,0.975546598722681,0.9098281712299119,0.941542012772066,0.9612360606757351,0.9076187648078746,0.03289571763367494,0.037161188106089815,3.3089896481949688,3.9333167465582184
