model,model_size_MB,avg_ms_per_image,FPS,hardware,images_timed
YOLO11s,18.311426162719727,13.949726379996719,71.6859938868733,Tesla T4,50
BD-TrafficGuard,18.311609268188477,13.060342960070557,76.56766771418671,Tesla T4,50
